GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaRSASignature,0,20,0,0,0,5,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaSABERKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAgreement.JcaPostQuantumEngine,14,86,0,0,4,20,0,3,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaXMSSSignature,0,89,0,2,0,27,0,5,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPair.JcaStateAwarePrivateKey,97,38,17,5,18,9,14,3,3,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaMayoSignature,0,10,0,0,0,3,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaMLDSAKeyPairGenerator,9,55,1,1,2,13,1,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaCMCEKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaGOSTSignature,0,31,0,2,0,10,0,3,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPair.JcaPublicKey,19,39,4,6,3,10,5,4,1,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaEncryptor.JcaBlockEncryptor,21,169,0,8,6,47,0,15,0,10
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaECKeyPairGenerator,9,68,0,3,2,17,0,5,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaDSASignature,0,20,0,0,0,5,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaFalconSignature,0,10,0,0,0,3,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaPicnicSignature,5,35,1,5,1,11,1,5,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaFalconKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaEncryptorFactory,7,72,2,11,1,16,2,10,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAgreement.JcaUnifiedEngine,14,150,0,0,4,29,0,3,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAsyncFactory,0,24,0,0,0,6,0,5,0,5
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator,28,115,0,4,8,29,0,14,0,12
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaPicnicKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaValidator,6,64,4,16,3,18,4,13,0,7
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaMLDSASignature,2,51,1,1,0,17,1,4,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaSnovaKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaDigest,18,241,1,47,5,76,2,52,1,20
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAgreement.JcaNewHopeEngine,14,84,0,0,4,20,0,3,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaCipher.JcaStreamCipher,0,6,0,0,0,2,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPair,19,55,6,4,5,14,6,7,1,7
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaMacFactory,26,270,2,33,6,69,2,39,0,18
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaNTRULPrimeKeyPairGenerator,7,50,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaLMSSignature,0,10,0,0,0,3,0,1,0,1
